"filename", "language", "Properties", "Python", "Markdown", "comment", "blank", "total"
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\.gitattributes", "Properties", 1, 0, 0, 1, 1, 3
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\AI\main.py", "Python", 0, 38, 0, 0, 13, 51
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\Chessboard.py", "Python", 0, 126, 0, 12, 16, 154
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\ImageProcessing.py", "Python", 0, 47, 0, 18, 14, 79
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\InverseKinematics\InverseKinematics.py", "Python", 0, 2, 0, 0, 0, 2
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\README.md", "Markdown", 0, 0, 2, 0, 1, 3
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\main.py", "Python", 0, 9, 0, 0, 1, 10
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\type\t_cord.py", "Python", 0, 16, 0, 6, 6, 28
"d:\Projects\Automatic Chessboard\Automatic-Chessboard\type\t_move.py", "Python", 0, 44, 0, 24, 8, 76
"Total", "-", 1, 282, 2, 61, 60, 406